part,event,ID,mother,daughter1,daughter2,Px,Py,Pz,E,X,Y,Z,T,i1,i2,i3
1105,16,333,2,18,19,-1.2118,-0.8054,-0.7369,1.9242,0.4474,0.153,0.6458,1.4178,55,0,42
1106,17,-10321,2,20,21,1.3508,1.1118,3.2281,3.9229,0.4474,0.153,0.6458,1.4178,55,0,42
1107,18,321,16,37,37,-0.6795,-0.3791,-0.5055,1.051,0.4474,0.153,0.6458,1.4178,55,0,42
1108,19,-321,16,38,39,-0.5324,-0.4263,-0.2314,0.8732,0.4474,0.153,0.6458,1.4178,55,0,42
1109,20,310,17,40,41,0.9103,1.0774,3.1002,3.4421,0.4474,0.153,0.6458,1.4178,55,0,42
1110,21,-211,17,-1,-1,0.4406,0.0343,0.128,0.4808,0.4474,0.153,0.6458,1.4178,55,0,42
1111,0,300553,-1,1,2,0.176,0,4.5008,11.503,0.4373,0.0716,-0.3903,-0.0566,55,0,43
1112,1,521,0,3,4,0.2732,0.2896,2.407,5.8156,0.4373,0.0716,-0.3903,-0.0566,55,0,43
1113,2,-521,0,9,11,-0.0971,-0.2896,2.0938,5.6874,0.4373,0.0716,-0.3903,-0.0566,55,0,43
1114,3,333,1,5,6,1.901,-0.0365,-0.5421,2.2239,0.4455,0.0802,-0.3184,0.1169,55,0,43
1115,4,10321,1,7,8,-1.6278,0.3261,2.949,3.5916,0.4455,0.0802,-0.3184,0.1169,55,0,43
1116,5,321,3,27,28,0.7351,-0.0405,-0.1539,0.8997,0.4455,0.0802,-0.3184,0.1169,55,0,43
1117,6,-321,3,29,30,1.1658,0.0041,-0.3882,1.3242,0.4455,0.0802,-0.3184,0.1169,55,0,43
1118,7,310,4,31,32,-0.7866,0.6433,1.4679,1.8534,0.4455,0.0802,-0.3184,0.1169,55,0,43
1119,8,211,4,33,38,-0.8412,-0.3173,1.4811,1.7383,0.4455,0.0802,-0.3184,0.1169,55,0,43
1120,9,421,2,12,13,0.1876,0.7753,0.7765,2.1718,0.4302,0.0504,-0.2374,0.3586,55,0,43
1121,10,-413,2,18,19,-0.4149,-1.4815,0.74,2.6372,0.4302,0.0504,-0.2374,0.3586,55,0,43
1122,11,-311,2,26,26,0.1302,0.4166,0.5774,0.8784,0.4302,0.0504,-0.2374,0.3586,55,0,43
1123,12,-10321,9,14,15,0.0676,0.7429,0.6172,1.9263,0.4394,0.0882,-0.1996,0.4645,55,0,43
1124,13,211,9,39,42,0.12,0.0324,0.1593,0.2456,0.4394,0.0882,-0.1996,0.4645,55,0,43
1125,14,-321,12,43,43,0.4258,0.1095,-0.3181,0.7336,0.4394,0.0882,-0.1996,0.4645,55,0,43
1126,15,111,12,16,17,-0.3582,0.6334,0.9353,1.1927,0.4394,0.0882,-0.1996,0.4645,55,0,43
1127,16,22,15,-1,-1,-0.368,0.619,0.8948,1.1486,0.4394,0.0882,-0.1996,0.4645,55,0,43
1128,17,22,15,-1,-1,0.0098,0.0144,0.0404,0.044,0.4394,0.0882,-0.1996,0.4645,55,0,43
1129,18,-421,10,20,21,-0.4012,-1.3389,0.6636,2.4231,0.4302,0.0504,-0.2374,0.3586,55,0,43
1130,19,-211,10,-1,-1,-0.0137,-0.1426,0.0764,0.2141,0.4302,0.0504,-0.2374,0.3586,55,0,43
